URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-contact-reason-vs,1.0.0,active,"2.16.620.1.101.10.4.6.171",CPARADMContactReasonVS,CPARADM - Contact Reason,"Conjunto de valores ContactReason (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-contact-result-vs,1.0.0,active,"2.16.620.1.101.10.4.6.172",CPARADMContactResultVS,CPARADM - Contact Result,"Conjunto de valores ContactResult (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-destination-vs,1.0.0,active,"2.16.620.1.101.10.4.6.31",CPARADMDestinationVS,CPARADM - Destination,"Conjunto de valores Destination (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-discharge-type-vs,1.0.0,active,"2.16.620.1.101.10.4.6.32",CPARADMDischargeTypeVS,CPARADM - Discharge Type,"Conjunto de valores DischargeType (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-document-format-vs,1.0.0,active,"2.16.620.1.101.10.4.6.173",CPARADMDocumentFormatVS,CPARADM - Document Format,"Conjunto de valores DocumentFormat (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-education-or-schooling-vs,1.0.0,active,"2.16.620.1.101.10.4.6.46",CPARADMEducationOrSchoolingVS,CPARADM - Education Or Schooling,"Conjunto de valores EducationOrSchooling (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-encounter-communication-method-vs,1.0.0,active,"2.16.620.1.101.10.4.6.24",CPARADMEncounterCommunicationMethodVS,CPARADM - Encounter Communication Method,"Conjunto de valores EncounterCommunicationMethod (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-encounter-presence-vs,1.0.0,active,"2.16.620.1.101.10.4.6.22",CPARADMEncounterPresenceVS,CPARADM - Encounter Presence,"Conjunto de valores EncounterPresence (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-funding-source-vs,1.0.0,active,"2.16.620.1.101.10.4.6.23",CPARADMFundingSourceVS,CPARADM - Funding Source,"Conjunto de valores FundingSource (CPARADM v3.0.0).",,"Other"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-internal-external-patient-vs,1.0.0,active,"2.16.620.1.101.10.4.6.174",CPARADMInternalExternalPatientVS,CPARADM - Internal External Patient,"Conjunto de valores InternalExternalPatient (CPARADM v3.0.0).",,"SCT"
https://hl7.pt/fhir/Terminologias/ValueSet/cparadm-location-type-vs,1.0.0,active,"2.16.620.1.101.10.4.6.25",CPARADMLocationTypeVS,CPARADM - Location Type,"Conjunto de valores LocationType (CPARADM v3.0.0).",,"SCT"
